Num of Spin	LeftCredit	Line	BetPerLine	TotalAmount	TotalHit	TotalCoinIn	TotalCoinOut	Hit Rate	PayBack	BaseGame Hit	BaseGame TotalWin	BaseGame Hit Rate	BaseGame PayBack	BaseGame TopAward	BaseGame TopAward ReelsStop	BaseGame TopAward Type	Freespin Total Hit	Freespin Total Win	FreeSpin Total Hit Rate	FreeSpin Total PayBack	Feespin Total Times	Freespin TopAward	FS TopAward ReelsStop	FS TopAward Type	screen Max Award	screen Max Award Hit	Bonus Total Hit	Bonus Total Win	Bonus Total Hit Rate	Bonus Total Payback	Base Mystery Mul1 Hit	Base Mystery Mul2 Hit	Base Mystery Mul3 Hit	Base Mystery Mul4 Hit	Base Mystery Mul5 Hit	Base Mystery Mul6 Hit	Base Mystery Mul7 Hit	Base Mystery Mul8 Hit	Fs Inc Mul1 Times	Fs Inc Mul2 Times	Fs Inc Mul3 Times	Fs Inc Mul4 Times	Fs Inc Mul5 Times	Fs Inc Mul6 Times	Fs Inc Mul7 Times	Fs Inc Mul1 Hit	Fs Inc Mul2 Hit	Fs Inc Mul3 Hit	Fs Inc Mul4 Hit	Fs Inc Mul5 Hit	Fs Inc Mul6 Hit	Fs Inc Mul7 Hit	Fs Inc Mul1 Win	Fs Inc Mul2 Win	Fs Inc Mul3 Win	Fs Inc Mul4 Win	Fs Inc Mul5 Win	Fs Inc Mul6 Win	Fs Inc Mul7 Win	Pay6	Pay6Hit	Pay6PayOut	Pay10	Pay10Hit	Pay10PayOut	Pay20	Pay20Hit	Pay20PayOut	Pay30	Pay30Hit	Pay30PayOut	Pay40	Pay40Hit	Pay40PayOut	Pay50	Pay50Hit	Pay50PayOut	Pay60	Pay60Hit	Pay60PayOut	Pay80	Pay80Hit	Pay80PayOut	Pay100	Pay100Hit	Pay100PayOut	Pay120	Pay120Hit	Pay120PayOut	Pay160	Pay160Hit	Pay160PayOut	Pay200	Pay200Hit	Pay200PayOut	Pay400	Pay400Hit	Pay400PayOut	Pay500	Pay500Hit	Pay500PayOut	Pay1000	Pay1000Hit	Pay1000PayOut	
1000	9999998042	88	1	0.0	215	88000	86042.0	0.215	0.97775	215	50368	0.215	0.5723636363636364	4200	46 50 95 25 94	Base Normal	6	20890	0.006	0.23738636363636365	48	2840	22 51 46 3 13	FS	7744.0	1	2	14784	0.002	0.168	657	152	50	41	23	30	27	20	11	11	13	11	2	0	0	6	6	6	3	2	0	0	6200	5100	5120	2790	1680	0	0	6	42	378	10	163	3160	20	199	6480	30	50	3030	40	188	13640	50	48	3400	60	7	660	80	26	3680	100	56	8900	120	0	0	160	2	1440	200	7	2800	400	2	2800	500	0	0	1000	0	0	
2000	9999977516	88	1	360.0	415	176000	153516.0	0.2075	0.87225	415	104086	0.2075	0.5913977272727273	4200	46 50 95 25 94	Base Normal	8	24438	0.004	0.13885227272727274	64	2840	22 51 46 3 13	FS	7744.0	1	4	24992	0.002	0.142	1298	296	99	85	63	70	56	33	17	16	16	13	2	0	0	8	8	7	3	2	0	0	7880	6168	5920	2790	1680	0	0	6	102	966	10	319	6030	20	385	15040	30	80	5880	40	387	32640	50	91	6650	60	15	2520	80	46	6960	100	109	17800	120	1	120	160	9	2880	200	10	3400	400	3	3200	500	0	0	1000	0	0	
3000	9999985852	88	1	0.0	616	264000	249852.0	0.20533333333333334	0.9464090909090909	616	159724	0.20533333333333334	0.6050151515151515	4200	46 50 95 25 94	Base Normal	13	46216	0.004333333333333333	0.17506060606060606	104	3520	93 6 8 24 73	FS	7744.0	1	8	43912	0.0026666666666666666	0.16633333333333333	1943	444	163	125	102	97	83	43	28	25	24	20	4	3	0	13	13	11	6	4	1	0	12784	10614	13328	5610	3180	700	0	6	147	1404	10	483	9410	20	570	21700	30	133	8280	40	594	46520	50	140	12250	60	20	3120	80	61	8880	100	167	36000	120	1	120	160	10	3040	200	16	5800	400	3	3200	500	0	0	1000	0	0	
4000	9999960310	88	1	0.0	853	352000	312310.0	0.21325	0.8872443181818181	853	212142	0.21325	0.6026761363636364	4200	46 50 95 25 94	Base Normal	14	53616	0.0035	0.15231818181818182	120	3680	25 91 91 64 84	FS	7744.0	1	9	46552	0.00225	0.13225	2594	593	225	161	141	118	110	58	31	26	26	21	7	5	4	14	14	11	7	5	2	1	12904	10794	13328	6110	4980	1820	3680	6	257	2412	10	707	13710	20	767	28700	30	217	13710	40	796	62280	50	214	17050	60	24	3420	80	76	10560	100	232	46500	120	1	120	160	11	3680	200	20	6800	400	3	3200	500	0	0	1000	0	0	
5000	9999965642	88	1	0.0	1071	440000	405642.0	0.2142	0.9219136363636363	1071	272266	0.2142	0.6187863636363636	4200	46 50 95 25 94	Base Normal	17	63592	0.0034	0.14452727272727273	144	3680	25 91 91 64 84	FS	7744.0	1	14	69784	0.0028	0.1586	3237	743	283	203	181	150	133	70	34	31	35	27	8	5	4	17	17	14	10	5	2	1	14944	12360	16848	8960	4980	1820	3680	6	338	3606	10	838	16080	20	1022	38360	30	278	16170	40	999	78560	50	254	19750	60	32	4620	80	97	14160	100	339	64000	120	2	240	160	14	4320	200	29	8800	400	4	3600	500	0	0	1000	0	0	
6000	9999961588	88	1	0.0	1282	528000	489588.0	0.21366666666666667	0.92725	1282	319842	0.21366666666666667	0.6057613636363637	4200	46 50 95 25 94	Base Normal	22	81042	0.0036666666666666666	0.15348863636363635	184	3680	25 91 91 64 84	FS	11040.0	1	17	88704	0.0028333333333333335	0.168	3888	887	336	252	225	181	148	83	49	36	39	36	13	7	4	22	21	18	13	8	3	1	17484	13722	22536	12420	9240	1960	3680	6	412	4242	10	992	18350	20	1251	47860	30	320	18480	40	1216	94960	50	299	24750	60	37	5460	80	109	15920	100	383	70900	120	2	240	160	19	5280	200	33	9800	400	4	3600	500	0	0	1000	0	0	
7000	9999959040	88	1	240.0	1488	616000	575040.0	0.21257142857142858	0.9335064935064935	1488	376706	0.21257142857142858	0.6115357142857143	4200	46 50 95 25 94	Base Normal	25	97134	0.0035714285714285713	0.15768506493506493	208	4500	45 2 58 64 12	FS	11040.0	1	20	101200	0.002857142857142857	0.16428571428571428	4541	1025	398	297	257	211	171	100	56	39	44	40	16	9	4	25	24	21	16	10	4	1	20488	16482	25584	18270	10320	2310	3680	6	451	4626	10	1151	21390	20	1478	56540	30	371	21630	40	1408	109960	50	361	30400	60	50	6480	80	124	18400	100	446	83400	120	3	480	160	20	6400	200	42	13000	400	5	4000	500	0	0	1000	0	0	
8000	9999941724	88	1	0.0	1722	704000	645724.0	0.21525	0.917221590909091	1722	432750	0.21525	0.6147017045454546	4800	24 63 64 71 74	Base Normal	29	107814	0.003625	0.15314488636363635	240	4920	62 24 64 54 72	FS	11040.0	1	21	105160	0.002625	0.149375	5189	1176	460	329	297	243	191	115	62	50	54	41	20	9	4	29	28	24	17	11	4	1	21288	19002	27624	18670	15240	2310	3680	6	506	5310	10	1314	24040	20	1753	65200	30	433	24390	40	1615	126280	50	419	37050	60	56	7140	80	134	20160	100	512	97100	120	7	1560	160	22	6720	200	44	13400	400	6	4400	500	0	0	1000	0	0	
9000	9999956446	88	1	0.0	1941	792000	748446.0	0.21566666666666667	0.9450075757575758	1941	494626	0.21566666666666667	0.6245277777777778	6600	24 50 75 65 34	Base Normal	32	142852	0.0035555555555555557	0.18036868686868687	264	14268	27 18 71 28 51	FS	16238.0	1	23	110968	0.0025555555555555557	0.1401111111111111	5823	1334	520	368	330	278	216	131	65	54	58	44	26	13	4	32	31	27	20	14	5	1	23228	19842	28944	20710	42108	4340	3680	6	570	5916	10	1448	27030	20	1961	72760	30	464	25860	40	1849	146520	50	493	44700	60	63	8880	80	141	20720	100	587	112000	120	7	1560	160	23	6880	200	49	17400	400	6	4400	500	0	0	1000	0	0	
10000	9999967378	88	1	0.0	2143	880000	847378.0	0.2143	0.9629295454545455	2144	549366	0.2144	0.6242795454545454	6600	24 50 75 65 34	Base Normal	38	176396	0.0038	0.20045	328	14268	27 18 71 28 51	FS	17408.0	1	26	121616	0.0026	0.1382	6475	1489	571	411	354	310	240	150	84	61	64	54	33	15	17	36	36	32	24	15	7	7	24168	25068	32864	28950	42708	8190	14448	6	607	6186	10	1593	29350	20	2193	82440	30	548	32130	40	2037	164280	50	532	47300	60	72	9420	80	163	24880	100	632	122300	120	10	1920	160	26	7360	200	49	17400	400	6	4400	500	0	0	1000	0	0	
11000	9999947472	88	1	0.0	2339	968000	915472.0	0.21263636363636362	0.9457355371900826	2340	602832	0.21272727272727274	0.6227603305785124	6600	24 50 75 65 34	Base Normal	40	179760	0.0036363636363636364	0.18570247933884299	344	14268	27 18 71 28 51	FS	17408.0	1	29	132880	0.0026363636363636363	0.13727272727272727	7119	1631	627	456	393	336	265	173	86	66	66	60	34	15	17	38	38	34	25	16	7	7	24668	26238	34264	29100	42852	8190	14448	6	666	6552	10	1728	31530	20	2372	89280	30	599	35430	40	2199	177280	50	563	50400	60	81	10440	80	175	26880	100	707	142800	120	12	2400	160	29	7840	200	50	17600	400	6	4400	500	0	0	1000	0	0	
12000	9999922432	88	1	0.0	2548	1056000	978432.0	0.21233333333333335	0.9265454545454546	2549	653614	0.21241666666666667	0.6189526515151516	6600	24 50 75 65 34	Base Normal	43	188770	0.0035833333333333333	0.1787594696969697	368	14268	27 18 71 28 51	FS	17408.0	1	30	136048	0.0025	0.12883333333333333	7768	1782	684	500	435	360	286	185	89	72	71	65	37	17	17	41	41	37	27	17	8	7	27608	27468	37304	29450	43812	8680	14448	6	747	7434	10	1902	35100	20	2590	97100	30	687	40170	40	2408	190840	50	624	54550	60	83	10620	80	196	29280	100	746	155200	120	12	2400	160	32	8320	200	52	18200	400	6	4400	500	0	0	1000	0	0	
13000	9999908188	88	1	400.0	2780	1144000	1052188.0	0.21384615384615385	0.9197447552447553	2781	713850	0.2139230769230769	0.6239947552447552	6600	24 50 75 65 34	Base Normal	44	202290	0.003384615384615385	0.17682692307692308	376	14268	27 18 71 28 51	FS	17408.0	1	30	136048	0.002307692307692308	0.11892307692307692	8425	1929	744	532	477	376	310	207	91	73	72	66	39	18	17	42	42	38	28	18	9	7	27808	28128	38704	31750	51372	10080	14448	6	827	8760	10	2061	38400	20	2852	107180	30	758	43560	40	2639	208120	50	682	59450	60	86	10800	80	218	32640	100	813	167900	120	14	2640	160	35	9600	200	59	20400	400	6	4400	500	0	0	1000	0	0	
14000	9999942094	88	1	0.0	3009	1232000	1174094.0	0.21492857142857144	0.9529983766233766	3010	762624	0.215	0.619012987012987	6600	24 50 75 65 34	Base Normal	47	233006	0.003357142857142857	0.18912824675324674	408	14268	27 18 71 28 51	FS	17408.0	1	37	178464	0.002642857142857143	0.14485714285714285	9088	2076	806	576	508	396	327	223	95	83	76	71	41	20	22	45	44	41	31	20	11	10	29472	34278	39432	34850	52632	20230	22112	6	879	9354	10	2227	41730	20	3076	116400	30	825	46620	40	2828	225120	50	734	62700	60	88	11100	80	229	33600	100	865	177000	120	14	2640	160	36	9760	200	64	22200	400	6	4400	500	0	0	1000	0	0	
15000	9999932776	88	1	160.0	3220	1320000	1252776.0	0.21466666666666667	0.9490727272727273	3221	818342	0.21473333333333333	0.6199560606060606	6600	24 50 75 65 34	Base Normal	49	240922	0.003266666666666667	0.18251666666666666	424	14268	27 18 71 28 51	FS	17408.0	1	40	193512	0.0026666666666666666	0.1466	9767	2213	860	611	532	422	356	239	98	85	79	75	45	20	22	47	46	43	33	20	11	10	30984	36942	41272	36750	52632	20230	22112	6	942	10032	10	2376	44100	20	3273	123920	30	920	52140	40	3006	239920	50	785	68250	60	104	13200	80	249	37600	100	932	184500	120	18	4560	160	37	9920	200	77	25800	400	6	4400	500	0	0	1000	0	0	
16000	9999902864	88	1	38.0	3445	1408000	1310864.0	0.2153125	0.9310113636363636	3446	872532	0.215375	0.6196960227272728	6600	24 50 75 65 34	Base Normal	50	241652	0.003125	0.17162784090909092	432	14268	27 18 71 28 51	FS	17408.0	1	41	196680	0.0025625	0.1396875	10444	2351	901	652	564	450	380	258	100	86	81	77	46	20	22	48	47	44	34	20	11	10	31184	37182	41512	36800	52632	20230	22112	6	994	10662	10	2567	47600	20	3511	133320	30	994	56070	40	3253	257200	50	850	73900	60	107	13440	80	272	40320	100	982	191500	120	23	5160	160	40	10560	200	84	28400	400	6	4400	500	0	0	1000	0	0	
17000	9999906800	88	1	0.0	3674	1496000	1402800.0	0.21611764705882353	0.9377005347593583	3675	939398	0.2161764705882353	0.6279398395721925	7200	98 99 17 37 40	Base Normal	55	257218	0.003235294117647059	0.17193716577540108	472	14268	27 18 71 28 51	FS	17408.0	1	43	206184	0.0025294117647058825	0.1378235294117647	11113	2484	964	694	593	480	398	274	111	97	95	80	47	20	22	53	52	48	35	20	11	10	33904	41358	45232	41750	52632	20230	22112	6	1079	11658	10	2718	50360	20	3750	142260	30	1051	58530	40	3497	281000	50	895	79050	60	119	15360	80	290	46320	100	1040	201900	120	25	5520	160	43	12640	200	86	30400	400	6	4400	500	0	0	1000	0	0	
18000	9999902952	88	1	0.0	3897	1584000	1486952.0	0.2165	0.9387323232323233	3898	1007946	0.21655555555555556	0.6363295454545455	7200	98 99 17 37 40	Base Normal	58	267894	0.0032222222222222222	0.169125	496	14268	27 18 71 28 51	FS	17408.0	1	44	211112	0.0024444444444444444	0.13327777777777777	11747	2642	1022	738	632	514	415	290	115	100	103	88	48	20	22	56	55	51	36	20	11	10	34556	43572	52392	42400	52632	20230	22112	6	1157	13116	10	2877	54360	20	3993	152040	30	1115	61950	40	3701	297000	50	968	86100	60	124	15780	80	307	48320	100	1124	219800	120	25	5520	160	48	14560	200	98	34600	400	7	4800	500	0	0	1000	0	0	
19000	9999937504	88	1	0.0	4095	1672000	1609504.0	0.21552631578947368	0.962622009569378	4096	1056944	0.21557894736842106	0.6321435406698565	7200	98 99 17 37 40	Base Normal	60	303432	0.003157894736842105	0.18147846889952154	520	14268	27 18 71 28 51	FS	30806.0	1	50	249128	0.002631578947368421	0.149	12400	2773	1077	782	673	546	438	311	117	102	106	90	52	22	31	58	57	53	38	22	11	14	35596	44256	53904	43250	59172	20230	47024	6	1207	13674	10	3023	56830	20	4191	160060	30	1159	63630	40	3856	311720	50	1015	90550	60	133	16560	80	322	50000	100	1178	233400	120	27	6000	160	49	14720	200	100	35000	400	7	4800	500	0	0	1000	0	0	
20000	9999967848	88	1	0.0	4318	1760000	1727848.0	0.2159	0.9817318181818182	4319	1107726	0.21595	0.6293897727272727	7200	98 99 17 37 40	Base Normal	66	370994	0.0033	0.21079204545454547	600	14268	27 18 71 28 51	FS	32192.0	1	50	249128	0.0025	0.14155	13062	2923	1138	830	693	573	454	327	133	112	118	97	60	31	49	63	63	58	44	24	13	24	38936	50976	62344	50530	69132	24276	74800	6	1265	14286	10	3195	60400	20	4480	170580	30	1210	66840	40	4035	322760	50	1055	93000	60	138	17580	80	336	52480	100	1249	248600	120	28	6120	160	50	14880	200	102	35400	400	7	4800	500	0	0	1000	0	0	
21000	9999976450	88	1	0.0	4528	1848000	1824450.0	0.21561904761904763	0.9872564935064935	4529	1158214	0.21566666666666667	0.6267391774891775	7200	98 99 17 37 40	Base Normal	68	374516	0.0032380952380952383	0.20266017316017315	616	14268	27 18 71 28 51	FS	32192.0	1	56	291720	0.0026666666666666666	0.15785714285714286	13680	3090	1205	871	736	606	473	339	141	114	124	97	60	31	49	65	65	58	44	24	13	24	39896	53538	62344	50530	69132	24276	74800	6	1323	14964	10	3341	62850	20	4694	179320	30	1245	68550	40	4228	339280	50	1110	97450	60	142	17940	80	357	55280	100	1299	260100	120	28	6120	160	52	15360	200	106	36200	400	7	4800	500	0	0	1000	0	0	
22000	9999973824	88	1	0.0	4720	1936000	1909824.0	0.21454545454545454	0.9864793388429752	4721	1201456	0.21459090909090908	0.6205867768595041	7200	98 99 17 37 40	Base Normal	71	400368	0.003227272727272727	0.20680165289256197	648	14268	27 18 71 28 51	FS	32192.0	1	60	308000	0.0027272727272727275	0.1590909090909091	14332	3229	1261	914	779	639	497	349	145	120	128	102	62	32	59	68	68	61	46	25	14	30	40356	55518	64616	56030	70932	27076	85840	6	1352	15186	10	3494	65820	20	4903	188500	30	1287	70740	40	4418	353160	50	1147	101050	60	147	18540	80	366	56480	100	1341	268300	120	28	6120	160	52	15360	200	111	37400	400	7	4800	500	0	0	1000	0	0	
23000	9999956054	88	1	0.0	4930	2024000	1980054.0	0.21434782608695652	0.9782875494071146	4931	1256798	0.21439130434782608	0.620947628458498	7200	98 99 17 37 40	Base Normal	74	405928	0.003217391304347826	0.20055731225296441	672	14268	27 18 71 28 51	FS	32192.0	1	62	317328	0.0026956521739130435	0.15678260869565216	14977	3371	1322	962	808	680	519	361	152	126	135	106	62	32	59	71	71	63	47	25	14	30	41656	56658	66936	56830	70932	27076	85840	6	1404	15738	10	3629	69160	20	5176	197660	30	1349	74790	40	4653	371600	50	1185	105050	60	153	20700	80	385	59840	100	1378	276100	120	29	6240	160	53	15520	200	119	39600	400	7	4800	500	0	0	1000	0	0	
24000	9999936270	88	1	60.0	5131	2112000	2048270.0	0.21379166666666666	0.9698248106060606	5132	1302848	0.21383333333333332	0.6168787878787879	7200	98 99 17 37 40	Base Normal	77	409438	0.0032083333333333334	0.19386268939393939	696	14268	27 18 71 28 51	FS	32192.0	1	64	335984	0.0026666666666666666	0.15908333333333333	15614	3519	1383	998	847	716	543	380	164	132	136	107	65	33	59	74	72	64	48	26	14	30	42556	57348	67056	58330	71232	27076	85840	6	1442	16548	10	3847	73690	20	5387	206500	30	1416	78420	40	4832	383640	50	1216	107650	60	161	22080	80	412	62640	100	1422	282000	120	30	6360	160	58	16320	200	128	41400	400	8	5600	500	0	0	1000	0	0	
25000	9999923782	88	1	0.0	5349	2200000	2123782.0	0.21396	0.9653554545454546	5350	1353770	0.214	0.61535	7200	98 99 17 37 40	Base Normal	80	417660	0.0032	0.18984545454545454	720	14268	27 18 71 28 51	FS	32192.0	1	68	352352	0.00272	0.16016	16287	3669	1431	1031	876	740	570	396	170	138	144	109	66	34	59	77	75	67	50	27	14	30	46568	58218	69696	58550	71712	27076	85840	6	1477	16830	10	4004	76540	20	5625	216120	30	1466	82710	40	5027	398040	50	1271	111450	60	168	22740	80	423	64000	100	1470	288900	120	33	7320	160	63	17120	200	135	46400	400	8	5600	500	0	0	1000	0	0	
26000	9999905704	88	1	0.0	5560	2288000	2193704.0	0.21384615384615385	0.9587867132867133	5561	1400430	0.2138846153846154	0.612076048951049	7200	98 99 17 37 40	Base Normal	81	420330	0.0031153846153846153	0.18371066433566433	728	14268	27 18 71 28 51	FS	32192.0	1	71	372944	0.0027307692307692306	0.163	16952	3823	1485	1064	910	764	594	408	173	141	146	109	66	34	59	78	76	67	50	27	14	30	47888	59568	69696	58550	71712	27076	85840	6	1546	17700	10	4190	79700	20	5853	224020	30	1499	84750	40	5247	416720	50	1318	114100	60	174	24060	80	441	66080	100	1528	295100	120	34	7800	160	66	17600	200	137	46800	400	9	6000	500	0	0	1000	0	0	
27000	9999915874	88	1	0.0	5780	2376000	2291874.0	0.21407407407407408	0.9645934343434344	5781	1457926	0.2141111111111111	0.6136052188552189	7200	98 99 17 37 40	Base Normal	84	431436	0.003111111111111111	0.1815808080808081	752	14268	27 18 71 28 51	FS	32192.0	1	76	402512	0.0028148148148148147	0.1694074074074074	17589	3976	1544	1110	946	795	615	425	178	150	149	113	69	34	59	81	79	70	53	27	14	30	49324	60888	72296	64300	71712	27076	85840	6	1617	18366	10	4369	83360	20	6059	231540	30	1572	88590	40	5442	430240	50	1384	124350	60	179	24900	80	461	68320	100	1584	309100	120	36	8040	160	68	17920	200	137	46800	400	10	6400	500	0	0	1000	0	0	
28000	9999898116	88	1	0.0	5983	2464000	2362116.0	0.21367857142857144	0.958650974025974	5984	1500484	0.21371428571428572	0.6089626623376624	7200	98 99 17 37 40	Base Normal	85	440640	0.0030357142857142857	0.17883116883116884	768	14268	27 18 71 28 51	FS	32192.0	1	78	420992	0.002785714285714286	0.17085714285714285	18248	4133	1612	1148	973	817	634	435	179	151	151	114	70	36	67	82	80	70	54	28	15	33	49404	62058	72296	66800	73632	28546	87904	6	1705	19254	10	4527	86140	20	6253	240300	30	1622	91080	40	5616	442680	50	1439	128050	60	184	25200	80	472	70080	100	1638	316500	120	37	8160	160	72	19040	200	139	47600	400	10	6400	500	0	0	1000	0	0	
29000	9999884596	88	1	0.0	6188	2552000	2436596.0	0.2133793103448276	0.9547789968652037	6189	1546444	0.21341379310344827	0.605973354231975	7200	98 99 17 37 40	Base Normal	91	458072	0.0031379310344827587	0.17949529780564263	824	14268	27 18 71 28 51	FS	32192.0	1	81	432080	0.002793103448275862	0.1693103448275862	18922	4268	1671	1204	1002	835	652	446	194	160	162	125	76	38	69	88	86	75	57	29	16	35	53384	66504	73608	70710	75732	28630	89504	6	1745	19704	10	4697	88930	20	6466	248320	30	1660	93780	40	5793	455200	50	1496	132950	60	189	26040	80	490	72160	100	1695	326600	120	37	8160	160	73	19200	200	141	49000	400	10	6400	500	0	0	1000	0	0	
30000	9999872698	88	1	50.0	6402	2640000	2512698.0	0.2134	0.9517795454545455	6403	1601426	0.21343333333333334	0.6066007575757576	7200	98 99 17 37 40	Base Normal	91	458072	0.003033333333333333	0.1735121212121212	824	14268	27 18 71 28 51	FS	32192.0	1	85	453200	0.0028333333333333335	0.17166666666666666	19549	4419	1729	1243	1052	868	682	458	194	160	162	125	76	38	69	88	86	75	57	29	16	35	53384	66504	73608	70710	75732	28630	89504	6	1790	20226	10	4852	92000	20	6680	257740	30	1719	97560	40	6001	471160	50	1544	137200	60	195	26820	80	499	74000	100	1749	336600	120	39	8400	160	74	19520	200	145	52200	400	11	8000	500	0	0	1000	0	0	
31000	9999848114	88	1	600.0	6617	2728000	2576114.0	0.2134516129032258	0.9443233137829912	6618	1656818	0.21348387096774193	0.6073379765395894	7200	98 99 17 37 40	Base Normal	94	466096	0.003032258064516129	0.17085630498533724	848	14268	27 18 71 28 51	FS	32192.0	1	85	453200	0.0027419354838709676	0.16612903225806452	20223	4571	1783	1282	1077	895	701	468	202	166	169	128	76	38	69	91	89	78	59	29	16	35	54784	67908	75528	74010	75732	28630	89504	6	1827	20598	10	5005	94690	20	6911	267840	30	1805	102750	40	6235	486280	50	1604	142400	60	204	27780	80	519	76560	100	1814	345400	120	39	8400	160	77	21120	200	155	54200	400	13	8800	500	0	0	1000	0	0	
32000	9999817588	88	1	0.0	6829	2816000	2633588.0	0.21340625	0.9352230113636364	6830	1697334	0.2134375	0.6027464488636364	7200	98 99 17 37 40	Base Normal	97	480414	0.00303125	0.1706015625	872	14268	27 18 71 28 51	FS	32192.0	1	86	455840	0.0026875	0.161875	20859	4756	1836	1311	1110	922	727	479	208	172	176	131	78	38	69	94	92	81	61	31	16	35	58884	70176	76968	75660	80592	28630	89504	6	1902	21534	10	5169	97910	20	7128	275900	30	1861	106260	40	6372	496160	50	1655	146750	60	208	28200	80	535	78560	100	1867	352100	120	39	8400	160	79	21760	200	158	55000	400	13	8800	500	0	0	1000	0	0	
33000	9999849000	88	1	0.0	7059	2904000	2753000.0	0.2139090909090909	0.9480027548209367	7060	1761656	0.21393939393939393	0.6066308539944903	7200	98 99 17 37 40	Base Normal	101	512184	0.0030606060606060605	0.17637190082644627	920	14268	27 18 71 28 51	FS	32192.0	1	92	479160	0.002787878787878788	0.165	21464	4919	1911	1347	1153	954	755	497	215	182	180	137	86	40	80	98	96	83	64	34	18	39	60080	72222	79456	85860	85512	30030	99024	6	1963	22266	10	5349	101960	20	7446	289900	30	1906	108870	40	6567	512200	50	1710	153500	60	215	28800	80	554	84160	100	1921	361400	120	39	8400	160	82	22400	200	166	57400	400	15	10400	500	0	0	1000	0	0	
34000	9999829718	88	1	30.0	7284	2992000	2821718.0	0.21423529411764705	0.9430875668449198	7285	1821046	0.21426470588235294	0.6086383689839572	7200	98 99 17 37 40	Base Normal	101	512184	0.0029705882352941177	0.17118449197860963	920	14268	27 18 71 28 51	FS	32192.0	1	94	488488	0.0027647058823529413	0.16326470588235295	22129	5066	1970	1385	1190	976	776	508	215	182	180	137	86	40	80	98	96	83	64	34	18	39	60080	72222	79456	85860	85512	30030	99024	6	2016	22896	10	5533	105060	20	7753	301600	30	1947	110850	40	6805	530600	50	1738	156200	60	224	29520	80	563	86320	100	2004	377400	120	42	9000	160	82	22400	200	172	58800	400	15	10400	500	0	0	1000	0	0	
35000	9999834910	88	1	0.0	7496	3080000	2914910.0	0.21417142857142857	0.9463993506493507	7497	1877896	0.2142	0.6097064935064935	7200	98 99 17 37 40	Base Normal	104	536206	0.0029714285714285715	0.17409285714285713	944	14268	27 18 71 28 51	FS	32192.0	1	97	500808	0.0027714285714285714	0.1626	22809	5196	2026	1422	1210	1010	798	529	220	187	185	142	88	41	81	101	99	86	65	35	19	40	62300	77574	80896	86060	88392	39480	101504	6	2085	23586	10	5695	107950	20	8038	312480	30	2028	113760	40	7009	552600	50	1764	159500	60	233	30420	80	585	90880	100	2035	383800	120	45	9480	160	88	23840	200	174	59200	400	15	10400	500	0	0	1000	0	0	
36000	9999809990	88	1	0.0	7697	3168000	2977990.0	0.21380555555555555	0.940022095959596	7698	1923982	0.21383333333333332	0.6073175505050505	7200	98 99 17 37 40	Base Normal	107	550032	0.002972222222222222	0.17362121212121212	968	14268	27 18 71 28 51	FS	32192.0	1	98	503976	0.0027222222222222222	0.15908333333333333	23448	5345	2094	1462	1250	1038	824	539	224	194	192	148	88	41	81	104	102	89	66	35	19	40	65660	79020	86816	89160	88392	39480	101504	6	2147	24372	10	5822	110550	20	8284	323040	30	2074	115830	40	7213	566560	50	1819	164950	60	237	30840	80	592	91680	100	2073	391000	120	45	9480	160	91	25280	200	178	60000	400	15	10400	500	0	0	1000	0	0	
37000	9999816244	88	1	0.0	7917	3256000	3072244.0	0.21397297297297296	0.9435638820638821	7918	1973412	0.214	0.6060847665847666	7200	98 99 17 37 40	Base Normal	112	580248	0.003027027027027027	0.1782088452088452	1008	14268	27 18 71 28 51	FS	32192.0	1	101	518584	0.0027297297297297295	0.15927027027027027	24112	5489	2157	1502	1284	1064	843	549	232	202	202	154	92	44	82	109	107	94	70	38	21	41	69308	83934	92616	97620	94080	39746	102944	6	2172	24732	10	6008	113660	20	8484	328740	30	2115	118320	40	7413	579320	50	1857	169200	60	246	31440	80	615	95280	100	2148	403600	120	48	10200	160	95	25920	200	186	61800	400	16	11200	500	0	0	1000	0	0	
38000	9999809106	88	1	160.0	8120	3344000	3153106.0	0.21368421052631578	0.9429144736842106	8121	2030878	0.21371052631578946	0.6073199760765551	7200	98 99 17 37 40	Base Normal	114	586132	0.003	0.17527870813397128	1024	14268	27 18 71 28 51	FS	32192.0	1	106	536096	0.002789473684210526	0.16031578947368422	24780	5634	2220	1539	1307	1087	871	562	235	205	204	157	96	45	82	111	109	96	72	40	21	41	69780	85254	93568	98300	96540	39746	102944	6	2213	25008	10	6156	116280	20	8680	335140	30	2192	124020	40	7613	598120	50	1901	172950	60	255	32700	80	640	100000	100	2192	413300	120	50	10440	160	104	28320	200	189	63400	400	16	11200	500	0	0	1000	0	0	
39000	9999804180	88	1	0.0	8339	3432000	3236180.0	0.21382051282051281	0.9429428904428905	8340	2088172	0.21384615384615385	0.608441724941725	7200	98 99 17 37 40	Base Normal	115	589032	0.002948717948717949	0.17162937062937064	1032	14268	27 18 71 28 51	FS	32192.0	1	110	558976	0.0028205128205128207	0.16287179487179487	25441	5750	2284	1586	1347	1119	895	578	236	208	206	158	97	45	82	112	110	97	73	40	21	41	70880	86514	93808	98600	96540	39746	102944	6	2275	26022	10	6346	120190	20	8927	343120	30	2259	128460	40	7813	611840	50	1949	177200	60	264	33720	80	654	101920	100	2266	428700	120	51	10560	160	109	30240	200	193	65000	400	16	11200	500	0	0	1000	0	0	
